"Canonical_Employer_Key","Employer_Display_Name","Canonical_Industry","Record_Count","Original_Name_Count","Original_Key_Count","Original_Industry_Count","Original_Names","Original_Keys","Original_Industries"
"BAHL AND GAYNOR INVESTMENT COUNSEL","Bahl & Gaynor Investment Counsel","Investment / Portfolio Management","34","1","1","1","Bahl & Gaynor Investment Counsel","BAHL AND GAYNOR INVESTMENT COUNSEL","Investment / Portfolio Management"
"CINCINNATI REDS","CINCINNATI REDS","Sports & Leisure","34","1","1","1","CINCINNATI REDS","CINCINNATI REDS","Sports & Leisure"
"TJX COMPANIES","TJX Companies","Retail Stores","34","1","1","1","TJX Companies","TJX COMPANIES","Retail Stores"
"BENDIX COMMERCIAL VEHICLE SYSTEMS","Bendix Commercial Vehicle Systems LLC","Automotive","33","1","1","1","Bendix Commercial Vehicle Systems LLC","BENDIX COMMERCIAL VEHICLE SYSTEMS","Automotive"
"FUND EVALUATION GROUP","Fund Evaluation Group LLC","Investment / Portfolio Management","33","1","1","1","Fund Evaluation Group LLC","FUND EVALUATION GROUP","Investment / Portfolio Management"
"UNIVERSITY OF CINCINNATI RESIDENCE EDUCATION AND DEVELOPMENT","University of Cincinnati, Residence Education and Development","NA","31","1","1","0","University of Cincinnati, Residence Education and Development","UNIVERSITY OF CINCINNATI RESIDENCE EDUCATION AND DEVELOPMENT",""
"KINETIC VISION","Kinetic Vision","Other Industries","30","1","1","1","Kinetic Vision","KINETIC VISION","Other Industries"
"MESSER CONSTRUCTION","Messer Construction Co","Construction","30","1","1","1","Messer Construction Co","MESSER CONSTRUCTION","Construction"
"PRICEWATERHOUSECOOPERS PWC","PricewaterhouseCoopers (PwC)","Accounting","30","1","1","1","PricewaterhouseCoopers (PwC)","PRICEWATERHOUSECOOPERS PWC","Accounting"
"RHINESTAHL","Rhinestahl Corporation","Aerospace","30","2","1","1","Rhinestahl | Rhinestahl Corporation","RHINESTAHL","Aerospace"
"TOYOTA","TOYOTA","Automotive","30","1","1","1","TOYOTA","TOYOTA","Automotive"
"3CDC","3CDC","Non-Profit - Other","27","1","1","1","3CDC","3CDC","Non-Profit - Other"
"BLUE AND","Blue & Co., LLC","Accounting","27","4","1","1","Blue & Co., LLC | Blue and Co | Blue and Co LLC | Blue and Company","BLUE AND","Accounting"
"MAKINO","Makino Inc","Manufacturing","27","2","1","1","Makino | Makino Inc","MAKINO","Manufacturing"
"ERNST AND YOUNG","Ernst & Young","Management Consulting","26","4","1","1","Ernst & Young | Ernst & Young LLP | Ernst & Young, LLP | Ernst and Young","ERNST AND YOUNG","Management Consulting"
"JOHNSON INVESTMENT COUNSEL","Johnson Investment Counsel","Investment / Portfolio Management","25","1","1","1","Johnson Investment Counsel","JOHNSON INVESTMENT COUNSEL","Investment / Portfolio Management"
"TQL TOTAL QUALITY LOGISTICS","TQL (Total Quality Logistics)","Transportation & Logistics","25","1","1","1","TQL (Total Quality Logistics)","TQL TOTAL QUALITY LOGISTICS","Transportation & Logistics"
"VECTOR SOLUTIONS","Vector Solutions","Internet & Software","25","1","1","1","Vector Solutions","VECTOR SOLUTIONS","Internet & Software"
"AMERICAN FINANCIAL GROUP","American Financial Group, Inc","Insurance","24","1","1","1","American Financial Group, Inc","AMERICAN FINANCIAL GROUP","Insurance"
"BDO USA","BDO USA LLP","Accounting","24","3","2","2","BDO USA | BDO USA LLP | BDO USA, P.C","BDO USA | BDO USA PC","Accounting | Management Consulting"
"ICON MARKETING AND COMMUNICATIONS","Icon Marketing and Communications","Advertising, PR & Marketing","24","1","1","1","Icon Marketing and Communications","ICON MARKETING AND COMMUNICATIONS","Advertising, PR & Marketing"
"JOHN R JURGENSEN COMPANIES","John R. Jurgensen Companies","Construction","24","1","1","1","John R. Jurgensen Companies","JOHN R JURGENSEN COMPANIES","Construction"
"EMERSON","Emerson","Information Technology","23","1","1","1","Emerson","EMERSON","Information Technology"
"RSM US","RSM US LLP","Accounting","23","1","1","1","RSM US LLP","RSM US","Accounting"
